Title,Semantic/Adequacy Score,Syntactic/Novelty Score,Fluency Score,Overall Score
A Model for Digital Education Management Information System Using Wireless Communication and BP Neural Networks,4,3,3,3
Synchronous restoration of video key frame loss based on digital media communication protocol,3,4,4,3
"Blockchain-enabled supply chain: analysis, challenges, and future directions",3,3,3,4
Virtual team training with Mixed Reality and Virtual Reality – benefits and limitations illustrated on the example of two paramedic classes,4,3,4,4
Virtual reality and gamification in education: a systematic review,4,4,4,4
Wordsphere: virtual reality text input interface,4,4,4,4
Effectiveness of Virtual Reality in Improving Oral Health,4,3,3,4
Utilizing Virtual Reality for Distraction in Emergency Care,4,2,4,3
Brief Report: Virtual Reality to Raise Awareness About Autism,4,4,4,4
"Lightness constancy in reality, in virtual reality, and on flat-panel displays",4,4,4,4
Exploratory analysis of the effectiveness of virtual reality in cardiovascular rehabilitation,4,4,4,4
Designing for collaborative learning in immersive virtual reality: a systematic literature review,4,4,4,4
Implementation of virtual reality in healthcare: a scoping review on the implementation process of virtual reality in various healthcare settings,4,4,4,4
Emoji as gesture in digital communication: Emoji improve comprehension of indirect speech,4,4,5,3
Effect of digital literacy on social entrepreneurial intentions and nascent behaviours among students and practitioners in mass communication,4,4,3,3
The digital power of the tower: digital communication technologies and dwelling experience in residential large urban developments,4,3,3,3
Intelligent patrol inspection of low code enabled electric power communication equipment based on digital transformation,4,3,3,3
A Model for Digital Education Management Information System Using Wireless Communication and BP Neural Networks,4,3,3,3
Emoji as gesture in digital communication: Emoji improve comprehension of indirect speech,4,4,5,3
Effect of digital literacy on social entrepreneurial intentions and nascent behaviours among students and practitioners in mass communication,4,4,3,3
The digital power of the tower: digital communication technologies and dwelling experience in residential large urban developments,4,3,3,3
Intelligent patrol inspection of low code enabled electric power communication equipment based on digital transformation,4,3,3,3
A Model for Digital Education Management Information System Using Wireless Communication and BP Neural Networks,4,3,3,3
Virtual and augmented reality in biomedical engineering,4,3,3,3
An immersive virtual reality learning environment with CFD simulations: Unveiling the Virtual Garage concept,3,4,3,3
Virtual reality headsets for perimetry testing: a systematic review,5,4,4,5
Immersive virtual reality in orthopaedics—a narrative review,5,4,4,5
"Design, development, and evaluation of educational virtual reality environment: EVRECA",5,3,3,5
Virtual reality evaluation of the spatial learning strategies in gamers,5,3,3,3
Adaptation of virtual reality interfaces to psychological diagnosis and medical rehabilitation applications,5,4,4,3
Investigating Educators’ and Students’ Perspectives on Virtual Reality Enhanced Teaching in Preschool,5,5,4,4
NestedChain: “Blockchain-inside-a-Blockchain” new generation prototype,5,5,5,4
Advancements in scalability of blockchain infrastructure through IPFS and dual blockchain methodology,3,5,5,4
Evolution of blockchain consensus algorithms: a review on the latest milestones of blockchain consensus algorithms,3,3,4,4
Kickstarting blockchain: designing blockchain-based tokens for equity crowdfunding,4,3,4,4
A scalable blockchain storage scheme for VANET,4,4,4,4
Blockchain-Technologie im Supply Chain Management – Anwendungspotenziale und Kompetenzlücken,4,4,4,4
Blockchain-Enabled land management systems,4,4,4,3
Olympus: a GDPR compliant blockchain system,5,4,4,4
IoT-based eHealth using blockchain technology: a survey,5,5,5,5
Salsal: blockchain for vetting cultural object collections,4,4,5,5
Decentralization System Using Smart Blockchain with Secure Hash,4,4,4,5
Data Mesh Meets Blockchain,4,4,3,5
Quantum blockchain architecture using cyclic QSCD and QKD,4,4,3,3
The Mediating Effect of Self-Efficacy in the Relationship Between Parental Communication and Digital Addiction,4,5,3,3
Face-to-face more important than digital communication for mental health during the pandemic,4,5,5,3
Emoji as gesture in digital communication: Emoji improve comprehension of indirect speech,4,4,5,3
Effect of digital literacy on social entrepreneurial intentions and nascent behaviours among students and practitioners in mass communication,4,4,3,3
The digital power of the tower: digital communication technologies and dwelling experience in residential large urban developments,4,3,3,3
Intelligent patrol inspection of low code enabled electric power communication equipment based on digital transformation,4,3,3,3
A Model for Digital Education Management Information System Using Wireless Communication and BP Neural Networks,4,3,3,3
